record_id,geography,reference_period,measure_type,headline_cpi_annual_pct,cpi_month_on_month_pct,food_cpi_annual_pct,housing_cpi_annual_pct,core_cpi_annual_pct,prior_period_headline_pct,usd_exchange_rate_local_per_usd,market_layer,narrative_layer,composite_status,source_institution,source_url,retrieved_date,comparability_note
JOR-2026-02,Jordan,2026-02,monthly_annual_rate,1.17,0.22,,,,1.06,,missing,pending_audit,withheld,Department of Statistics (Jordan),https://dosweb.dos.gov.jo/cpi_032026/,2026-08-13,Monthly year-on-year and month-on-month rates; not the cumulative year-to-date average
JOR-2026-03,Jordan,2026-03,monthly_annual_rate,1.87,0.76,,,,1.17,,missing,pending_audit,withheld,Department of Statistics (Jordan),https://dosweb.dos.gov.jo/cpi_042026/,2026-08-13,Monthly year-on-year and month-on-month rates; not the cumulative year-to-date average
JOR-2026-04,Jordan,2026-04,monthly_annual_rate,2.49,0.70,,,,1.87,,missing,pending_audit,withheld,Department of Statistics (Jordan),https://dosweb.dos.gov.jo/cpi_052026/,2026-08-13,Monthly year-on-year and month-on-month rates; not the cumulative year-to-date average
JOR-2026-05,Jordan,2026-05,monthly_annual_rate,2.83,0.55,,,,2.49,,missing,pending_audit,withheld,Department of Statistics (Jordan),https://dosweb.dos.gov.jo/cpi_062026/,2026-08-13,Monthly year-on-year and month-on-month rates; not the cumulative year-to-date average
JOR-2026-06,Jordan,2026-06,monthly_annual_rate,2.79,0.14,,,,2.83,,missing,pending_audit,withheld,Department of Statistics (Jordan),https://dosweb.dos.gov.jo/cpi_072026/,2026-08-13,Monthly year-on-year and month-on-month rates; not the cumulative first-half average
PSE-2026-01,Palestine overall,2026-01,monthly_annual_rate,-14.39,1.11,,,,,3.15,fx_only,pending_conflict_review,withheld_structural_break,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=23461,2026-08-13,Overall series combines separately published conflict-affected geographies; direction is not a welfare signal
PSE-WB-2026-01,West Bank excluding J1,2026-01,regional_monthly_annual_rate,1.75,1.04,,,,,3.15,fx_only,pending_conflict_review,withheld_regional_series,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=23461,2026-08-13,PCBS regional series retained separately; excludes Jerusalem J1
PSE-J1-2026-01,Jerusalem J1,2026-01,regional_monthly_annual_rate,2.95,0.59,,,,,3.15,fx_only,pending_conflict_review,withheld_regional_series,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=23461,2026-08-13,PCBS J1 definition retained exactly as published
PSE-GZA-2026-01,Gaza Strip,2026-01,regional_monthly_annual_rate,-36.49,1.42,,,,,3.15,fx_only,pending_conflict_review,withheld_structural_break,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=23461,2026-08-13,Conflict-driven level and base effects; direction is not a welfare signal
PSE-2026-02,Palestine overall,2026-02,monthly_annual_rate,11.61,12.02,,,,-14.39,3.10,fx_only,pending_conflict_review,withheld_structural_break,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=23432,2026-08-13,Overall series combines separately published conflict-affected geographies; direction is not a welfare signal
PSE-WB-2026-02,West Bank excluding J1,2026-02,regional_monthly_annual_rate,1.71,0.02,,,,1.75,3.10,fx_only,pending_conflict_review,withheld_regional_series,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=23432,2026-08-13,PCBS regional series retained separately; excludes Jerusalem J1
PSE-J1-2026-02,Jerusalem J1,2026-02,regional_monthly_annual_rate,2.84,0.39,,,,2.95,3.10,fx_only,pending_conflict_review,withheld_regional_series,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=23432,2026-08-13,PCBS J1 definition retained exactly as published
PSE-GZA-2026-02,Gaza Strip,2026-02,regional_monthly_annual_rate,31.32,37.92,,,,-36.49,3.10,fx_only,pending_conflict_review,withheld_structural_break,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=23432,2026-08-13,Conflict-driven level and base effects; direction is not a welfare signal
PSE-2026-03,Palestine overall,2026-03,monthly_annual_rate,3.02,5.27,,,,11.61,3.12,fx_only,pending_conflict_review,withheld_structural_break,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=23572,2026-08-13,Overall series combines separately published conflict-affected geographies; direction is not a welfare signal
PSE-WB-2026-03,West Bank excluding J1,2026-03,regional_monthly_annual_rate,1.40,0.75,,,,1.71,3.12,fx_only,pending_conflict_review,withheld_regional_series,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=23572,2026-08-13,PCBS regional series retained separately; excludes Jerusalem J1
PSE-J1-2026-03,Jerusalem J1,2026-03,regional_monthly_annual_rate,2.94,0.62,,,,2.84,3.12,fx_only,pending_conflict_review,withheld_regional_series,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=23572,2026-08-13,PCBS J1 definition retained exactly as published
PSE-GZA-2026-03,Gaza Strip,2026-03,regional_monthly_annual_rate,5.01,12.42,,,,31.32,3.12,fx_only,pending_conflict_review,withheld_structural_break,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=23572,2026-08-13,Conflict-driven level and base effects; direction is not a welfare signal
PSE-2026-04,Palestine overall,2026-04,monthly_annual_rate,-21.78,-0.75,,,,3.02,,missing,pending_conflict_review,withheld_structural_break,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=25987,2026-08-13,Overall series combines separately published conflict-affected geographies; direction is not a welfare signal
PSE-WB-2026-04,West Bank excluding J1,2026-04,regional_monthly_annual_rate,3.64,2.08,,,,1.40,,missing,pending_conflict_review,withheld_regional_series,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=25987,2026-08-13,PCBS regional series retained separately; excludes Jerusalem J1
PSE-J1-2026-04,Jerusalem J1,2026-04,regional_monthly_annual_rate,3.45,0.73,,,,2.94,,missing,pending_conflict_review,withheld_regional_series,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=25987,2026-08-13,PCBS J1 definition retained exactly as published
PSE-GZA-2026-04,Gaza Strip,2026-04,regional_monthly_annual_rate,-42.84,-4.41,,,,5.01,,missing,pending_conflict_review,withheld_structural_break,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=25987,2026-08-13,Conflict-driven level and base effects; direction is not a welfare signal
PSE-2026-05,Palestine overall,2026-05,monthly_annual_rate,-36.96,-0.40,,,,-21.78,2.91,fx_only,pending_conflict_review,withheld_structural_break,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=26093,2026-08-13,Overall series combines separately published conflict-affected geographies; direction is not a welfare signal
PSE-WB-2026-05,West Bank excluding J1,2026-05,regional_monthly_annual_rate,2.69,-0.97,,,,3.64,2.91,fx_only,pending_conflict_review,withheld_regional_series,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=26093,2026-08-13,PCBS regional series retained separately; excludes Jerusalem J1
PSE-J1-2026-05,Jerusalem J1,2026-05,regional_monthly_annual_rate,3.21,-0.32,,,,3.45,2.91,fx_only,pending_conflict_review,withheld_regional_series,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=26093,2026-08-13,PCBS J1 definition retained exactly as published
PSE-GZA-2026-05,Gaza Strip,2026-05,regional_monthly_annual_rate,-59.96,0.30,,,,-42.84,2.91,fx_only,pending_conflict_review,withheld_structural_break,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=26093,2026-08-13,Conflict-driven level and base effects; direction is not a welfare signal
PSE-2026-06,Palestine overall,2026-06,monthly_annual_rate,-40.04,-1.60,,,,-36.96,2.94,fx_only,pending_conflict_review,withheld_structural_break,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=26333,2026-08-13,Overall series combines separately published conflict-affected geographies; direction is not a welfare signal
PSE-WB-2026-06,West Bank excluding J1,2026-06,regional_monthly_annual_rate,1.31,-1.60,,,,2.69,2.94,fx_only,pending_conflict_review,withheld_regional_series,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=26333,2026-08-13,PCBS regional series retained separately; excludes Jerusalem J1
PSE-J1-2026-06,Jerusalem J1,2026-06,regional_monthly_annual_rate,2.31,-0.53,,,,3.21,2.94,fx_only,pending_conflict_review,withheld_regional_series,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=26333,2026-08-13,PCBS J1 definition retained exactly as published
PSE-GZA-2026-06,Gaza Strip,2026-06,regional_monthly_annual_rate,-62.77,-1.87,,,,-59.96,2.94,fx_only,pending_conflict_review,withheld_structural_break,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=26333,2026-08-13,Conflict-driven level and base effects; direction is not a welfare signal
