record_id,geography,reference_period,headline_cpi_annual_pct,cpi_month_on_month_pct,source_institution,source_url,retrieved_date,composite_status,comparability_note
SAU-2026-02,Saudi Arabia,2026-02,1.7,0.0,General Authority for Statistics (Saudi Arabia),https://www.stats.gov.sa/documents/20117/2435267/CPI%2BFeb%2B2026-EN.pdf/b5bb5491-511c-d979-de0b-f84380966d1a?t=1773476710285,2026-08-13,withheld,Official release describes month-on-month price stability; updated CPI methodology has applied since August 2025
SAU-2026-03,Saudi Arabia,2026-03,1.8,0.3,General Authority for Statistics (Saudi Arabia),https://www.stats.gov.sa/documents/20117/2435267/CPI%2BMar%2B2026-EN.pdf/1afd0875-51e0-017d-142a-dad764e9c4a2?t=1776149346515,2026-08-13,withheld,Official monthly CPI release; updated CPI methodology has applied since August 2025
SAU-2026-04,Saudi Arabia,2026-04,1.7,0.2,General Authority for Statistics (Saudi Arabia),https://www.stats.gov.sa/documents/20117/2435267/CPI%2BApr%2B2026-EN.pdf/bde04884-dadd-e281-310c-2b262b578372?t=1778577209221,2026-08-13,withheld,Official monthly CPI release; updated CPI methodology has applied since August 2025
SAU-2026-05,Saudi Arabia,2026-05,1.8,0.2,General Authority for Statistics (Saudi Arabia),https://www.stats.gov.sa/en/w/consumer-price-index-may-2026-1,2026-08-13,withheld,Official monthly CPI release; updated CPI methodology has applied since August 2025
SAU-2026-06,Saudi Arabia,2026-06,1.8,0.2,General Authority for Statistics (Saudi Arabia),https://www.stats.gov.sa/documents/20117/2435267/CPI%2BJun%2B2026-EN%2B%281%29.pdf/06a48d85-4368-1e92-dfcb-8a092010e724?t=1783941888045,2026-08-13,withheld,Official monthly CPI release; updated CPI methodology has applied since August 2025
TUN-2026-01,Tunisia,2026-01,4.8,0.3,National Institute of Statistics (Tunisia),https://www.ins.tn/publication/indice-des-prix-la-consommation-janvier-2026,2026-08-13,withheld,Official monthly CPI release; national headline and component rates retained as published
TUN-2026-02,Tunisia,2026-02,5.0,0.1,National Institute of Statistics (Tunisia),https://www.ins.tn/publication/indice-des-prix-la-consommation-fevrier-2026,2026-08-13,withheld,Official monthly CPI release; national headline and component rates retained as published
TUN-2026-03,Tunisia,2026-03,5.0,1.0,National Institute of Statistics (Tunisia),https://www.ins.tn/publication/indice-des-prix-la-consommation-mars-2026,2026-08-13,withheld,Official monthly CPI release; national headline and component rates retained as published
TUN-2026-04,Tunisia,2026-04,5.5,1.1,National Institute of Statistics (Tunisia),https://www.ins.tn/publication/indice-des-prix-la-consommation-avril-2026,2026-08-13,withheld,Official monthly CPI release; national headline and component rates retained as published
TUN-2026-05,Tunisia,2026-05,5.5,0.3,National Institute of Statistics (Tunisia),https://www.ins.tn/publication/indice-des-prix-la-consommation-mai-2026,2026-08-13,withheld,Official monthly CPI release; national headline and component rates retained as published
TUN-2026-06,Tunisia,2026-06,5.3,0.2,National Institute of Statistics (Tunisia),https://www.ins.tn/publication/indice-des-prix-la-consommation-juin-2026,2026-08-13,withheld,Official monthly CPI release; national headline and component rates retained as published
